hashes,protocol,prove_ms_median,verify_ms_median,proof_bytes_median,proof_bytes_min,proof_bytes_max
64,FLOCK-non-ZK-Secure,4.473,14.109,274609,274609,274609
64,VEIL-FLOCK-full-ZK,18.756,12.027,801033,799209,802665
128,FLOCK-non-ZK-Secure,4.792,14.363,283537,283537,283537
128,VEIL-FLOCK-full-ZK,17.815,12.055,800617,800489,801769
256,FLOCK-non-ZK-Secure,6.432,14.438,377697,377697,377697
256,VEIL-FLOCK-full-ZK,17.947,11.946,802089,800873,802473
512,FLOCK-non-ZK-Secure,7.549,14.788,385081,385081,385081
512,VEIL-FLOCK-full-ZK,21.051,12.788,811601,811409,812561
1024,FLOCK-non-ZK-Secure,9.228,15.501,398657,398657,398657
1024,VEIL-FLOCK-full-ZK,30.190,12.912,847329,845089,848929
2048,FLOCK-non-ZK-Secure,13.545,15.774,433425,433425,433425
2048,VEIL-FLOCK-full-ZK,46.190,13.828,863697,862449,863761
4096,FLOCK-non-ZK-Secure,22.439,17.518,451937,451937,451937
4096,VEIL-FLOCK-full-ZK,77.249,16.034,884657,883281,886481
