hashes,protocol,prove_ms_median,verify_ms_median,proof_bytes_median,proof_bytes_min,proof_bytes_max
64,FLOCK-non-ZK-Secure,4.337,14.205,274609,274609,274609
64,VEIL-FLOCK-full-ZK,18.226,12.036,801257,799977,801801
128,FLOCK-non-ZK-Secure,4.786,14.391,283537,283537,283537
128,VEIL-FLOCK-full-ZK,18.151,12.518,801577,799625,801961
256,FLOCK-non-ZK-Secure,6.165,14.501,377697,377697,377697
256,VEIL-FLOCK-full-ZK,18.870,12.459,800297,800041,801865
512,FLOCK-non-ZK-Secure,7.747,14.790,385081,385081,385081
512,VEIL-FLOCK-full-ZK,22.139,13.609,812177,809809,813425
1024,FLOCK-non-ZK-Secure,9.890,15.661,398657,398657,398657
1024,VEIL-FLOCK-full-ZK,29.976,12.723,847649,846401,848257
2048,FLOCK-non-ZK-Secure,13.780,15.849,433425,433425,433425
2048,VEIL-FLOCK-full-ZK,48.421,14.386,863313,862577,864753
4096,FLOCK-non-ZK-Secure,21.429,17.716,451937,451937,451937
4096,VEIL-FLOCK-full-ZK,76.066,16.132,884881,882481,886897
